Object1,Object1_X,Object1_Y,Object2,Object2_X,Object2_Y,Shortest_Distance,Path
Plant,0,1,Stove,0,6,24,"(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)"
Plant,0,1,Table,1,5,25,"(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)"
Plant,0,1,Telescope,0,3,28,"(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)"
Plant,0,1,Mailbox,1,0,3,"(0, 1)->(0, 0)->(1, 0)"
Plant,0,1,Chair,4,0,6,"(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)"
Mailbox,1,0,Well,5,1,6,"(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)"
Mailbox,1,0,Harp,5,2,7,"(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)"
Mailbox,1,0,Wheelbarrow,3,3,10,"(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)"
Mailbox,1,0,Bookshelf,5,4,13,"(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)"
Mailbox,1,0,Trashcan,6,4,14,"(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)"
Mailbox,1,0,Piano,5,6,17,"(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)"
Mailbox,1,0,Stove,0,6,22,"(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)"
Mailbox,1,0,Table,1,5,23,"(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)"
Mailbox,1,0,Telescope,0,3,26,"(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)"
Mailbox,1,0,Plant,0,1,28,"(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)"
Mailbox,1,0,Chair,4,0,4,"(1, 0)->(2, 0)->(3, 0)->(4, 0)"
Chair,4,0,Well,5,1,3,"(4, 0)->(5, 0)->(5, 1)"
Chair,4,0,Harp,5,2,4,"(4, 0)->(5, 0)->(5, 1)->(5, 2)"
Chair,4,0,Wheelbarrow,3,3,7,"(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)"
Chair,4,0,Bookshelf,5,4,10,"(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)"
Chair,4,0,Trashcan,6,4,11,"(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)"
Chair,4,0,Piano,5,6,14,"(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)"
Chair,4,0,Stove,0,6,19,"(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)"
Chair,4,0,Table,1,5,20,"(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)"
Chair,4,0,Telescope,0,3,23,"(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)"
Chair,4,0,Plant,0,1,25,"(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)"
Chair,4,0,Mailbox,1,0,27,"(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)"
